user_id,first_name,last_name,age,genres,roles,skill_proficiency,skill_engagement,location,ok_not_local,weekly_time,considers_age,age_limit
user_001,The,Beatles,83,Rock | Pop | Psychedelic Rock,singer|songwriter|musician|guitarist|pianist|multi-instrumentalist|drummer|actor,advanced|advanced|expert|expert|expert|advanced|expert|advanced,hobbyist|semi-professional|professional|semi-professional|hobbyist|professional|professional|semi-professional,"Liverpool, England",FALSE,10,TRUE,10
user_002,Elvis,Presley,91,Rock and Roll | Pop | Country,singer,advanced,professional,"Tupelo, Mississippi | Memphis, Tennessee",TRUE,10,FALSE,999
user_003,Michael,Jackson,,Pop | Soul | R&B | Dance,singer,expert,professional,"Gary, Indiana | Los Angeles, California",TRUE,20,FALSE,15
user_004,Madonna,,67,Pop | Dance | Electronica,singer,expert,professional,"Bay City, Michigan | New York City, New York",TRUE,30,TRUE,15
user_005,Elton,John,78,Rock | Pop | Glam Rock,singer,advanced,semi-professional,"Pinner, England | London, England",FALSE,10,FALSE,15
user_006,Led,Zeppelin,77,Hard Rock | Blues Rock | Heavy Metal,singer,intermediate,semi-professional,"London, England",FALSE,40,FALSE,20
user_007,Rolling,Stones,82,Rock | Blues Rock,singer,advanced,professional,"London, England",FALSE,15,TRUE,999
user_008,Pink,Floyd,82,Progressive Rock | Psychedelic Rock,musician|singer|composer|producer|guitarist|songwriter|multi-instrumentalist|drummer,advanced|expert|advanced|advanced|expert|expert|advanced|intermediate,hobbyist|professional|semi-professional|hobbyist|professional|serious hobbyist|professional|serious hobbyist,"London, England",TRUE,30,FALSE,15
user_009,Mariah,Carey,56,R&B | Pop | Soul,singer,intermediate,semi-professional,"Huntington, New York | New York City, New York",TRUE,40,FALSE,15
user_010,Stevie,Wonder,75,Soul | R&B | Funk | Pop,singer,advanced,semi-professional,"Saginaw, Michigan | Detroit, Michigan",TRUE,35,FALSE,20
user_011,Prince,,,Funk | R&B | Rock | Pop,singer,advanced,semi-professional,"Minneapolis, Minnesota",TRUE,25,FALSE,10
user_012,Whitney,Houston,,R&B | Pop | Soul | Gospel,singer,advanced,semi-professional,"Newark, New Jersey",FALSE,40,TRUE,5
user_013,David,Bowie,79,Art Rock | Glam Rock | Pop,singer,expert,semi-professional,"London, England",FALSE,15,FALSE,5
user_014,Queen,,55,Rock | Arena Rock | Pop,singer,advanced,hobbyist,"London, England",TRUE,15,TRUE,15
